Country,Score,Social support,Freedom to make life choices,Generosity,Trust,Population,Land_Area,Support_Ratio,Urbanization,Get_Median_Age,Life_Expectancy,Fertility_Rate,Hospital_Bed_Density,Access_To_Clean_Water,Obesity_Rate,School_Life_Expectancy,GDP,GDP_per_capita,Unemployment_Rate,Electrification_Rate,Population Density
Guatemala,6.454,1.256,0.531,0.28300000000000003,0.077,15460732.0,107159.0,13.1,0.525,22.1,72.6,2.77,0.6,0.9279999999999999,0.212,11.0,138300000000.0,8200.0,0.024,0.78,144.27842738360755
Guinea,3.5069999999999997,0.7909999999999999,0.349,0.265,0.111,12413867.0,245717.0,17.8,0.382,18.9,61.0,4.77,0.3,0.768,0.077,9.0,26450000000.0,2000.0,0.027999999999999997,0.26,50.52099366344209
Haiti,3.603,0.64,0.03,0.489,0.1,10646714.0,27560.0,13.3,0.609,23.0,64.2,2.72,1.3,0.5770000000000001,0.22699999999999998,13.572519083969466,19880000000.0,1800.0,0.406,0.38,386.31037735849054
Honduras,5.181,1.1440000000000001,0.348,0.23600000000000002,0.073,9038741.0,111890.0,14.2,0.5589999999999999,23.0,71.2,2.67,0.7,0.912,0.214,11.0,45680000000.0,5500.0,0.059000000000000004,0.82,80.78238448476182
Hong Kong,5.472,1.263,0.491,0.374,0.294,7191503.0,1073.0,4.8,1.0,44.4,83.0,1.19,3.0897810218978106,0.883374149659864,0.18451020408163266,16.0,453000000000.0,61000.0,0.026000000000000002,1.0,6702.239515377446
Hungary,5.324,1.3430000000000002,0.17600000000000002,0.078,0.037000000000000005,9850845.0,89608.0,3.9,0.721,42.3,76.1,1.45,7.2,1.0,0.264,15.0,283600000000.0,28900.0,0.044000000000000004,1.0,109.93265110258012
Iceland,7.504,1.611,0.627,0.47600000000000003,0.154,339747.0,100250.0,4.8,0.943,36.5,83.1,2.0,3.18,1.0,0.21899999999999997,20.0,17730000000.0,52100.0,0.027999999999999997,1.0,3.3889975062344138
India,4.315,0.754,0.47,0.23199999999999998,0.092,1281935911.0,2973193.0,11.7,0.335,27.9,68.8,2.43,0.7,0.941,0.039,12.0,9447000000.0,7200.0,0.08800000000000001,0.79,431.16471450053865
Indonesia,5.2620000000000005,1.274,0.44299999999999995,0.612,0.015,260580739.0,1811569.0,13.2,0.552,30.2,73.0,2.11,0.9,0.8740000000000001,0.069,13.0,3243000000.0,12400.0,0.054000000000000006,0.81,143.84256906582084
Iran,4.692,0.7120000000000001,0.249,0.387,0.049,82021564.0,1531595.0,14.2,0.7440000000000001,30.3,74.0,1.97,0.1,0.9620000000000001,0.258,15.0,1631000000.0,20000.0,0.124,0.986,53.553037193252784
Iraq,4.497,0.9790000000000001,0.289,0.2,0.107,39192111.0,437367.0,18.3,0.6970000000000001,20.0,74.9,4.0,1.3,0.866,0.304,13.572519083969466,660700000000.0,17000.0,0.16,0.98,89.60920919959668
Ireland,6.977,1.558,0.573,0.428,0.298,5011102.0,68883.0,4.9,0.638,36.8,80.9,1.97,2.9,0.9790000000000001,0.253,19.0,344800000000.0,72600.0,0.064,1.0,72.74802200833297
Israel,7.212999999999999,1.376,0.406,0.33,0.085,8299706.0,20330.0,5.4,0.9229999999999999,29.9,82.5,2.64,3.3,1.0,0.261,16.0,315600000000.0,36200.0,0.043,1.0,408.2491883915396
Italy,5.9639999999999995,1.445,0.256,0.17300000000000001,0.027999999999999997,62137802.0,294140.0,2.9,0.693,45.5,82.3,1.44,3.4,1.0,0.19899999999999998,16.0,2307000000.0,38000.0,0.114,1.0,211.25247161215748
Jamaica,5.311,1.368,0.474,0.23399999999999999,0.055,2990561.0,10831.0,7.2,0.5529999999999999,26.0,73.7,1.96,1.7,0.938,0.247,13.572519083969466,26200000000.0,9200.0,0.122,0.93,276.1112547317884
Japan,5.92,1.436,0.506,0.121,0.16399999999999998,126451398.0,364485.0,2.3,0.943,47.3,85.3,1.41,13.7,1.0,0.043,15.0,5405000000.0,42700.0,0.028999999999999998,1.0,346.9316926622495
Jordan,5.336,1.239,0.418,0.172,0.12,10248069.0,88802.0,16.0,0.841,22.5,74.8,3.19,1.8,0.9690000000000001,0.355,13.0,89050000000.0,12500.0,0.165,0.995,115.40358325262945
Kazakhstan,5.819,1.3840000000000001,0.43700000000000006,0.20199999999999999,0.11900000000000001,18556698.0,2699700.0,9.8,0.532,30.6,71.1,2.25,7.2,0.929,0.21,15.0,474300000000.0,26100.0,0.05,1.0,6.873614846094011
Kenya,4.553,1.068,0.45299999999999996,0.445,0.065,47615739.0,569140.0,21.7,0.265,19.7,64.3,2.98,1.4,0.632,0.071,11.0,163400000000.0,3500.0,0.4,0.2,83.66261201110447
Kosovo,5.279,1.138,0.26,0.32,0.057,1895250.0,10887.0,11.9993288590604,0.604614864864865,29.1,72.37619047619047,2.5982432432432425,3.0897810218978106,0.883374149659864,0.18451020408163266,13.572519083969466,19380000000.0,10400.0,0.348,1.0,174.08376963350784
Kuwait,6.105,1.26,0.496,0.228,0.215,2875422.0,17818.0,37.3,0.9840000000000001,29.3,78.2,2.4,2.2,0.99,0.379,13.0,302500000000.0,69700.0,0.021,0.98,161.37737119766527
