Country,Score,Social support,Freedom to make life choices,Generosity,Trust,Population,Land_Area,Support_Ratio,Urbanization,Get_Median_Age,Life_Expectancy,Fertility_Rate,Hospital_Bed_Density,Access_To_Clean_Water,Obesity_Rate,School_Life_Expectancy,GDP,GDP_per_capita,Unemployment_Rate,Electrification_Rate,Population Density
United Kingdom,6.7139999999999995,1.496,0.508,0.493,0.265,64769452.0,241930.0,3.5,0.831,40.5,80.8,1.88,2.9,1.0,0.278,18.0,2880000000.0,43600.0,0.044000000000000004,1.0,267.71980324887363
United States,6.992999999999999,1.42,0.506,0.39299999999999996,0.136,326625791.0,9147593.0,4.5,0.82,38.1,80.0,1.87,2.9,0.992,0.36200000000000004,17.0,19360000000.0,59500.0,0.044000000000000004,1.0,35.70620063660462
Uruguay,6.454,1.412,0.579,0.175,0.17800000000000002,3360148.0,175015.0,4.4,0.956,35.0,77.4,1.8,2.5,0.997,0.27899999999999997,16.0,78410000000.0,22400.0,0.073,0.9940000000000001,19.199200068565553
Uzbekistan,5.971,1.5490000000000002,0.6579999999999999,0.41600000000000004,0.247,29748859.0,425400.0,16.0,0.366,28.6,74.0,1.76,4.4,0.873,0.166,12.0,221700000000.0,7000.0,0.049,1.0,69.9314974141984
Venezuela,5.25,1.431,0.154,0.065,0.064,31304016.0,882050.0,10.5,0.8909999999999999,28.3,76.0,2.32,0.9,0.9309999999999999,0.256,14.0,389400000000.0,12400.0,0.264,0.997,35.490069723938554
Vietnam,5.074,1.2770000000000001,0.5710000000000001,0.235,0.08800000000000001,96160163.0,310070.0,10.4,0.349,30.5,73.7,1.81,2.0,0.976,0.021,13.572519083969466,643900000000.0,6900.0,0.023,0.99,310.12404618311996
Yemen,3.593,0.935,0.249,0.10400000000000001,0.057,28036829.0,527968.0,19.8,0.358,19.5,65.9,3.63,0.7,0.5489999999999999,0.171,9.0,68950000000.0,2300.0,0.27,0.48,53.103273304442695
Zambia,4.513999999999999,1.003,0.462,0.25,0.078,48779657.65100671,743398.0,20.8,0.418,16.8,52.7,5.63,2.0,0.654,0.081,13.572519083969466,68900000000.0,4000.0,0.15,0.26,716917.1841748629
Zimbabwe,3.875,1.083,0.336,0.18899999999999997,0.095,13805084.0,386847.0,19.7,0.322,20.0,60.4,3.98,1.7,0.769,0.155,10.0,33869999999.999996,2300.0,0.95,0.4,35.686160161510884
Czech Republic,6.609,1.4340000000000002,0.491,0.08800000000000001,0.037000000000000005,10674723.0,77247.0,3.7,0.73,42.1,78.8,1.45,6.8,1.0,0.26,17.0,372600000000.0,35200.0,0.027999999999999997,1.0,138.18948308672182
South Korea,5.837999999999999,1.128,0.258,0.207,0.063,51181299.0,96920.0,5.6,0.8270000000000001,41.8,82.5,1.26,10.3,0.978,0.047,17.0,2027000000.0000002,39400.0,0.038,1.0,528.077785802724
Congo (Kinshasa),4.28,1.229,0.23600000000000002,0.24600000000000002,0.06,83301151.0,2267048.0,16.8,0.435,18.6,57.7,4.39,0.8,0.524,0.067,9.0,67989999999.99999,800.0,0.11209790209790203,0.09,36.74432610160879
Congo (Brazzaville),4.291,0.8320000000000001,0.435,0.121,0.08,4954674.0,341500.0,16.1,0.662,19.7,59.8,4.59,3.0897810218978106,0.765,0.096,11.0,29160000000.0,6700.0,0.36,0.42,14.508562225475842
Myanmar,4.545,1.123,0.514,0.838,0.18899999999999997,55123814.0,653508.0,12.6,0.35200000000000004,28.2,68.2,2.17,0.6,0.8059999999999999,0.057999999999999996,8.0,330900000000.0,6300.0,0.04,0.52,84.35063381014463
Ivory Coast,4.18,0.905,0.44799999999999995,0.201,0.13,24184810.0,318003.0,18.9,0.555,20.9,59.0,3.38,0.4,0.8190000000000001,0.10300000000000001,9.0,96270000000.0,3900.0,0.094,0.26,76.052144162162
